observation_date,PCRUDEOIL,CRUDEOIL,FCRUDEOIL
3/15/2018,56.36520356,63.67,68.36520356
3/14/2018,56.86355826,63.61,68.86355826
3/13/2018,56.69475599,64.2,68.69475599
3/12/2018,57.76514821,64.53,69.76514821
3/9/2018,56.41953696,65.19,68.41953696
3/8/2018,57.45099408,63.87,69.45099408
3/7/2018,58.13912628,65.09,70.13912628
3/6/2018,57.96355206,65.67,69.96355206
3/5/2018,56.81455427,65.78,68.81455427
3/2/2018,56.80419089,64.26,68.80419089
3/1/2018,58.43640346,64.23,70.43640346
2/28/2018,59.52300715,66.08,71.52300715
2/27/2018,59.74620818,67.59,71.74620818
2/26/2018,58.60877196,67.96,70.60877196
2/23/2018,58.49542289,67.04,70.49542289
2/22/2018,56.54235318,66.12,68.54235318
2/21/2018,56.7778124,64.81,68.7778124
2/20/2018,56.82403115,64.68,68.82403115
2/16/2018,55.42411078,64.3,67.42411078
2/15/2018,54.82956302,62.86,66.82956302
2/14/2018,54.45004676,62.29,66.45004676
2/13/2018,54.5295695,61.94,66.5295695
2/12/2018,55.77473836,62.2,67.77473836
2/9/2018,56.94567051,63.04,68.94567051
2/8/2018,58.17044494,64.26,70.17044494
2/7/2018,58.45090069,65.74,70.45090069
2/6/2018,59.82884873,66.75,71.82884873
2/5/2018,59.2201686,67.69,71.2201686
2/2/2018,60.80119808,67.45,72.80119808
2/1/2018,59.80554084,68.6,71.80554084
1/31/2018,59.92626548,67.78,71.92626548
1/30/2018,60.53785292,67.78,72.53785292
1/29/2018,61.53747241,68.41,73.53747241
1/26/2018,62.63683143,70.08,74.63683143
1/25/2018,61.13372349,71.08,73.13372349
1/24/2018,61.7645651,69.91,73.7645651
1/23/2018,61.22580548,69.81,73.22580548
1/22/2018,60.30681813,69.32,72.30681813
1/19/2018,61.18047552,68.56,73.18047552
1/18/2018,61.08309117,69.48,73.08309117
1/17/2018,60.70093864,69.19,72.70093864
1/16/2018,61.40771567,69.4,73.40771567
1/12/2018,62.07354771,69.64,74.07354771
1/11/2018,61.04142135,70.36,73.04142135
1/10/2018,60.88558228,69.79,72.88558228
1/9/2018,60.24325567,69.08,72.24325567
